Timed By,20 Yard Shuttle,100 Meter Dash,Bench: 1-rep max (lbs),Bench x 185 (lbs),Vertical Jump,Standing Broad Jump,Bench x 225 (lbs),Squat (lbs),Power Clean
N/A,4.25,N/A,270,17,266.7,10 feet 7 inches,6,N/A,265
N/A,N/A,N/A,215,N/A,N/A,N/A,N/A,N/A,N/A
N/A,5.1,N/A,335,N/A,22,N/A,10,N/A,N/A
N/A,None,N/A,335,N/A,27,N/A,13,N/A,N/A
Hand,4.9,N/A,405,N/A,22,8,23,N/A,N/A
N/A,4.4,N/A,N/A,N/A,32,N/A,N/A,N/A,N/A
N/A,4.5,N/A,N/A,N/A,32,N/A,N/A,N/A,N/A
N/A,4.23,N/A,245,N/A,33,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A
Lazor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,16,"31""","9'3""",8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,28 in,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan State,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,330,N/A,N/A,N/A,15,N/A,N/A
Nike Opening Combine,4.25,N/A,N/A,N/A,33.4 in,"8'9""",N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,27,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,230,N/A,29.5,N/A,N/A,N/A,210
N/A,N/A,N/A,275,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,5,N/A,N/A
N/A,NA,N/A,NA,N/A,NA,N/A,195,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coaches,N/A,N/A,225,N/A,40’,10’0,N/A,N/A,N/A
N/A,None ,N/A,225,N/A,None,N/A,1,N/A,N/A
N/A,N/A,N/A,220,6,N/A,N/A,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.7,N/A,285,N/A,N/A,N/A,9,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.2,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,29in,9.2,N/A,N/A,N/A
H.S. Coach,4.4,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A
Browns High School Showcase,4.18,N/A,N/A,N/A,32.5,10’,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.29,N/A,270,N/A,29.5,N/A,8,N/A,N/A
N/A,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,306,16,N/A,N/A,12,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,2,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,N/A,N/A,275,12,29.6,N/A,5,N/A,275
N/A,4.5,N/A,N/A,N/A,29,N/A,N/A,N/A,N/A
The Opening,N/A,N/A,225,5+,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,3.98,N/A,235,N/A,N/A,N/A,5,N/A,N/A
Northwestern University June 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,N/A,N/A,N/A
N/A,6.7,N/A,205,N/A,32,N/A,0,N/A,N/A
N/A,N/A,N/A,215,N/A,30 in,N/A,N/A,N/A,195
Doug Herbert,N/A,N/A,315,N/A,N/A,N/A,10,N/A,N/A
N/A,4.3,N/A,265,N/A,29,N/A,5,N/A,N/A
N/A,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,7,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,335,N/A,N/A,N/A,N/A,N/A,N/A
St. Eds Coaches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,34,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.55,N/A,315,20,"25""","7' 10""",13,N/A,265
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,155
"Ashland University, Miami of Ohio, Bowling Green",4.15,N/A,240,5,33,9ft 11in,N/A,N/A,230
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NSCA Combine,4.9,N/A,405,23,20.6,93,16,N/A,N/A
N/A,4.9,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
DB coach,Na,N/A,215,7,Na,Na,Na,N/A,Na
N/A,N/A,N/A,260,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,355,N/A,N/A,N/A,26,N/A,N/A
N/A,N/A,N/A,215,N/A,N/A,N/A,N/A,N/A,N/A
Keith Shinn,5.13,N/A,285,16,N/A,7'1,9,N/A,N/A
Asst Coach,N/A,N/A,300,14,23.9'',7' 11'',N/A,N/A,255
N/A,N/A,N/A,295,N/A,N/A,N/A,12,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,N/A,N/A,10,N/A,N/A
N/A,NA,N/A,255,10,NA,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/a,N/A,33.4,N/A,N/a,N/A,N/A
N/A,N/A,N/A,350,N/A,N/A,N/A,7,N/A,N/A
N/A,4.4,N/A,280,N/A,35,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,180 last repped,N/A,N/A
N/A,N/A,N/A,270,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,?,N/A,260,N/A,?,N/A,?,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,3,N/A,N/A
N/A,4.3,N/A,300,N/A,N/A,N/A,14,N/A,N/A
N/A,N/A,N/A,225,10,N/A,N/A,1,N/A,N/A
N/A,4.1,N/A,245,N/A,28,N/A,3,N/A,N/A
Brent Ullery,4.33,N/A,N/A,N/A,29,"8'2""",N/A,N/A,N/A
N/A,N/A,N/A,285,14,29,N/A,8,N/A,N/A
N/A,3,N/A,315,24,"32""",N/A,16,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,12-Oct,N/A,300
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,300,N/A,25,N/A,15,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,5,N/A,N/A
N/A,4.4,N/A,255,N/A,31.1,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,240,6,35.1,120 in,1,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,6,N/A,N/A
N/A,4.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,220,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,275,N/A,37,N/A,6,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Na,N/A,265,N/A,Na,N/A,4,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,33,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio State Camp June 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,6,20.1,N/A,0,N/A,265
N/A,4.28,N/A,255,N/A,32”,N/A,4,N/A,N/A
N/A,4.78,N/A,275,N/A,22,N/A,7,N/A,N/A
Best of the Midwest Combine ,N/A,N/A,315,N/A,N/A,7'1,11,N/A,N/A
Laser ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,13,N/A,N/A
N/A,4.15,N/A,245,N/A,25,N/A,3,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.33,N/A,N/A,N/A,34,9-Sep,N/A,N/A,N/A
High School Coach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio State Football Camp,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,235,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.4,N/A,315,16,23,N/A,13,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS Coach,4.1,N/A,285,12,"29.5""","8'10""",8,N/A,285
N/A,N/A,N/A,305,20,N/A,N/A,13,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coach,4.4,N/A,210,N/A,N/A,N/A,N/A,N/A,190
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,190,N/A,24,N/A,N/A,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,17,N/A,N/A
Coach,N/A,N/A,240,N/A,N/A,N/A,7,N/A,245
N/A,N/A,N/A,285,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,245,N/A,N/a,N/A,3,N/A,N/A
N/A,N/A,N/A,350,N/A,36.8,9’11,21,N/A,N/A
Joe McConnell,4.28,N/A,275,17,N/A,N/A,N/A,N/A,240
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,5.5,N/A,375,20,4 ft,N/A,15,N/A,255
coach joe mcconnell,4.3,N/A,235,10,N/A,N/A,3,N/A,205
N/A,N/A,N/A,N/A,N/A,38,N/A,N/A,N/A,N/A
Coach,N/A,N/A,315,25,N/A,6'8,18,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,205,N/A,29’,N/A,N/A,N/A,N/A
N/A,4.2,N/A,205,N/A,N/a,N/A,N/a,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,225
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,24,94,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,240,8,N/A,N/A,N/A,N/A,N/A
N/A,4.1,N/A,225,N/A,32.5,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stopwatch,N/A,N/A,275,8,34,N/A,N/A,N/A,255
HAP Lineman Academy (6/28/20),4.77,N/A,N/A,N/A,N/A,"8'0""",21,N/A,N/A
N/A,4.3,N/A,300,N/A,20,N/A,12,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AP Prep,4.31,N/A,325,N/A,27,8.6,12,N/A,275
Sycamore High School Coaches,N/A,N/A,225,8,23,101,1,N/A,200
N/A,N/A,N/A,245,8,N/A,N/A,3,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,275,N/A,N/A,N/A,7,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,11,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,275,N/A,17,N/A,N/A,N/A,245
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,25.2,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,155,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.6,N/A,315,N/A,27,N/A,15,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,n/a,N/A,205,10 reps,n/a,N/A,n/a,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/A
N/A,None,N/A,240,N/A,None,N/A,15,N/A,N/A
N/A,2.6,N/A,245,N/A,36,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.7,N/A,315,N/A,N/A,N/A,14,N/A,N/A
N/A,N/A,N/A,385,N/A,N/A,N/A,30,N/A,N/A
N/A,N/A,N/A,175,N/A,30,N/A,0,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hand,N/A,N/A,210,5,31,11,0,N/A,215
N/A,N/A,N/A,295,N/A,"39""",N/A,8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,29.5,N/A,12,N/A,275
N/A,3,N/A,400,N/A,28,N/A,12,N/A,N/A
Toledo Coach,N/A,N/A,270,12,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,225,N/A,"31""","9'3""",1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.37,N/A,140,N/A,25.1,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,15,N/A,N/A,5,N/A,N/A
N/A,Never done,N/A,245,N/A,Never done,N/A,6,N/A,N/A
Massillon Washington high school camp  ,4.3,N/A,300,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,26,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.49,N/A,175,N/A,29,N/A,0,N/A,N/A
N/A,N/A,N/A,180,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,32,N/A,3,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,4.31,N/A,315,17,"32""","9'1""",N/A,N/A,235
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Speed Strength,4.8,N/A,240,N/A,N/A,7.5,3,N/A,235
N/A,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,230,N/A,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trainer,3.98,N/A,275,14,33.5,"9' 4""",6,N/A,275
Coach Parker,N/A,N/A,235,8,33,9’5’,3,N/A,N/A
N/A,N/A,N/A,335,N/A,N/A,N/A,16,N/A,270
N/A,5.1,N/A,200,N/A,17,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.7,N/A,185,N/A,38,N/A,1,N/A,N/A
N/A,N/A,N/A,240,N/A,36.5,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,230,N/A,32,N/A,2,N/A,N/A
N/A,N/A,N/A,210,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,255,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,n/a,N/A,225,N/A,n/a,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,5.2,N/A,315,25,N/A,N/A,10,N/A,235
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.13,N/A,230,N/A,31,N/A,2,N/A,N/A
N/A,4.4,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A
N/A,N/A,N/A,350,N/A,N/A,N/A,11 reps,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,215,12,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hand,5. 15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
Trainer,4.31,N/A,225,N/A,23,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,10,N/A,"9,0",5,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,4.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.65,N/A,215,N/A,32”,N/A,0,N/A,N/A
N/A,N/A,N/A,275,18,N/A,N/A,15,N/A,245
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,33,N/A,7,N/A,N/A
N/A,5,N/A,255,20,8 inches ,N/A,6,N/A,250
N/A,N/A,N/A,235,N/A,N/A,N/A,3,N/A,N/A
N/A,4.4,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,4.87,N/A,280,N/A,N/A,N/A,5,N/A,N/A
N/A,4.7,N/A,225,N/A,28.6,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1.98,N/A,N/A,N/A,N/A,N/A,4 times ,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.9,N/A,245,N/A,22.5,N/A,N/A,N/A,N/A
N/A,N/A,N/A,255,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,6,N/A,N/A,2,N/A,225
N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.8,N/A,315,20,24 inches,8 feet 9 inches,14,N/A,240
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,335,N/A,N/A,N/A,18,N/A,N/A
N/A,N/A,N/A,N/A,N/A,34,N/A,12,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,7,N/A,N/A
Coach ,N/A,N/A,225,5,32 inches,N/A,1,N/A,N/A
N/A,4.26,N/A,235,N/A,32,N/A,2,N/A,N/A
N/A,4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,14,30,N/A,5,N/A,250
