Timed By,20 Yard Shuttle,100 Meter Dash,Bench: 1-rep max (lbs),Bench x 185 (lbs),Vertical Jump,Standing Broad Jump,Bench x 225 (lbs),Squat (lbs),Power Clean
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,290,20,N/A,N/A,8,N/A,245
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"F.A.S.T. Lima, Ohio ",4.31,N/A,N/A,N/A,34.3,10',N/A,N/A,N/A
N/A,Not sure,N/A,275,N/A,Not sure,N/A,Not sire,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,225,7,32”,9’0”,1,N/A,215
N/A,N/A,N/A,195,N/A,"23""",N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,30,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,285,12,N/A,N/A,8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,245,N/A,30,N/A,7,N/A,N/A
N/A,N/A,N/A,255,10,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,30,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
My School,N/A,N/A,275,14,N/A,"8'11""",6,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,4.1,N/A,285,10,30,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,12,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,240,N/A,28,N/A,2,N/A,N/A
N/A,4.51,N/A,N/A,N/A,29,N/A,N/A,N/A,N/A
N/A,N/A,N/A,295,N/A,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,NA,N/A,280,N/A,NA,N/A,5,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.66,N/A,200,N/A,25,N/A,None,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,31,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,None,N/A,190 lbs ,N/A,None ,N/A,None,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,3,N/A,N/A
N/A,4.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,270,N/A,30.7,N/A,6,N/A,N/A
Mike Pavlansky ,N/A,N/A,245,9,32’’,9’0’’,3,N/A,N/A
N/A,N/A,N/A,315,N/A,27,N/A,11,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,3,N/A,N/A
N/A,4.9,N/A,230,N/A,32,N/A,2,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,205,N/A,26,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,195,N/A,39,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,190,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,255,10,30,N/A,5,N/A,250
Coaches,4.45,N/A,185,N/A,31”,8’9,N/A,N/A,185
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,29,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,330,N/A,33,N/A,20,N/A,N/A
N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,240,13,N/A,N/A,2,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,195,N/A,30,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,185,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.12,N/A,275,18,34,N/A,10,N/A,250
N/A,N/A,N/A,245,N/A,24.5,N/A,N/A,N/A,N/A
Head Coach,4.4,N/A,185,1,32,9'2,N/A,N/A,185
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,305,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,215,N/A,28inch,N/A,N/A,N/A,N/A
ApPrep,4.09,N/A,270,12,"29.9""",9',5,N/A,235
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stopwatch ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,225
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.8,N/A,265,N/A,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,365,N/A,N/A,N/A,17,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,215
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
coaching staff,4.43,N/A,235,N/A,33.5,N/A,N/A,N/A,235
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,15,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,255,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,190,N/A,N/A,N/A,N/A,N/A,195
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,6.6,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,33.8,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,320,N/A,"26""",N/A,20,N/A,N/A
NCEC National recruiting ,4.3,N/A,270,13,35 inches,"9,1",6,N/A,N/A
N/A,N/A,N/A,280,N/A,32.5,N/A,8,N/A,N/A
N/A,4.2,N/A,225,7,28,104,1,N/A,225
N/A,N/A,N/A,185,N/A,N/A,N/A,N/A,N/A,N/A
Laser,1.7,N/A,245,8,34,"9ft,11inches",3,N/A,N/A
N/A,N/A,N/A,365,N/A,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,325,N/A,N/A,N/A,N/A,N/A,N/A
N/A,3.9,N/A,305,N/A,29.75,N/A,14,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,14,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,4,N/A,N/A
N/A,4.3,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,290,N/A,24”,N/A,7,N/A,190
Top 200,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,145,0,28,106.5,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.19,N/A,225,11 reps,36,9.4,1 rep,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,190,N/A,N/A,N/A,0,N/A,N/A
N/A,na,N/A,265,N/A,27,N/A,9,N/A,N/A
N/A,3.9,N/A,235,N/A,40.4 inches,10ft 3in,1,N/A,255
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,idk,N/A,235,N/A,idk,N/A,3,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,270,N/A,N/A,N/A,7,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,10.4,N/A,240,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.66,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,285,N/A,32 inches,N/A,14,N/A,N/A
N/A,N/A,N/A,215,N/A,33.7,N/A,0,N/A,N/A
Michigan state ,N/A,N/A,250,35,38,N/A,10,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,2,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,32,N/A,N/A,N/A,N/A
N/A,4.7,N/A,325,16,26.8,N/A,4,N/A,N/A
N/A,4.3,N/A,350,27,33,"9'7""",22,N/A,245
N/A,N/A,N/A,225,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Track coach,4.3,N/A,270,12,32’,8’10,6,N/A,N/A
N/A,N/A,N/A,215,N/A,N/A,N/A,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hand,4.22,N/A,255,N/A,31,N/A,N/A,N/A,225
N/A,N/A,N/A,190,N/A,N/A,N/A,0,N/A,N/A
Coach,N/A,N/A,245,11,N/A,9,4,N/A,N/A
N/A,N/A,N/A,330,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.18,N/A,200,N/A,32,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,210,N/A,30,N/A,N/A,N/A,N/A
Former College Coach Dave Walkosky,4.22,N/A,300,18,33,9’4,10,N/A,245
N/A,4.25,N/A,325,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,6,29,"8'6""",N/A,N/A,N/A
N/A,4.01,N/A,225,N/A,31,N/A,1,N/A,N/A
N/A,3.9,N/A,275,N/A,3.6,N/A,6,N/A,260 (Hang Clean)
N/A,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,275,25,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,180,N/A,N/A,N/A,160,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,305,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,35”,N/A,N/A,N/A,18,N/A,N/A
N/A,N/A,N/A,215,N/A,N/A,N/A,0,N/A,N/A
Coach,N/A,N/A,215,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Ross,3.98,N/A,350,28,31,"9' 7""",25,N/A,315
Hand,N/A,N/A,285,N/A,24”,N/A,N/A,N/A,275
N/A,4.5,N/A,230,N/A,35 inches,N/A,3,N/A,N/A
N/A,N/A,N/A,196,N/A,N/A,N/A,6x,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,325,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,15,N/A,N/A
N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,N/A,N/A
N/A,4.44,N/A,225,N/A,33,N/A,1,N/A,N/A
N/A,N/A,N/A,145,N/A,N/A,N/A,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,405,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.5,N/A,225,N/A,9’2,N/A,1,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,4,N/A,N/A
N/A,4.27,N/A,250,N/A,34.5,N/A,4,N/A,N/A
N/A,N/A,N/A,295,N/A,N/A,N/A,N/A,N/A,260
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A
Tiffin camp,3.45,N/A,295,N/A,25,8.5,N/A,N/A,N/A
N/A,4.2,N/A,350,N/A,21,N/A,15,N/A,N/A
N/A,4.3,N/A,315,N/A,30,N/A,13,N/A,N/A
N/A,N/A,N/A,N/A,N/A,32,N/A,4,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
 Akron University,4.9,N/A,300,N/A,N/A,N/A,12,N/A,200
N/A,5.2,N/A,300,20,26.5,90,10,N/A,260
N/A,N/A,N/A,275,28,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,175,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.43,N/A,275,26,36in ,113 in ,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ap prep,4.2,N/A,285,15,N/A,N/A,9,N/A,225
N/A,N/A,N/A,210,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,160,N/A,25.6,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,N/A
N/A,5,N/A,275,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,315,16,N/A,N/A,10,N/A,235
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,32.1,N/A,3,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,7,N/A,N/A
N/A,5,N/A,315,N/A,14,N/A,17,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.96,N/A,N/A,N/A,N/A,7’8”,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.93,N/A,275,N/A,N/A,8’1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Na,N/A,200,N/A,Na,N/A,Once ,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tom deluca,4.4,N/A,280,26,26,"8'6""",15,N/A,315
N/A,N/A,N/A,280,N/A,38’,10’2,9,N/A,N/A
N/A,N/A,N/A,200,5,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,185,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,380,N/A,N/A,N/A,26,N/A,255
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,37,N/A,N/A,N/A,N/A
N/A,N/A,N/A,190,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,275,N/A,33,N/A,7,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiffin U,4.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.6,N/A,270,N/A,28,N/A,6,N/A,N/A
N/A,4.8,N/A,400,30,N/A,7'8,20,N/A,275
N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A
N/A,N/A,N/A,285,N/A,30.5,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,26,N/A,N/A,N/A,N/A
N/A,4.3,N/A,300,N/A,28,9’4,19,N/A,300
N/A,N/A,N/A,N/A,N/A,N/A,N/A,265,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,185,N/A,16 inches,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.6,N/A,255,N/A,N/A,N/A,5,N/A,N/A
Cleveland Browns High school showcase ,4.4,N/A,270,N/A,33.6,8.9,5,N/A,N/A
N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A
A coach,N/A,N/A,205,5,36 in,13 ft,N/A,N/A,210
N/A,N/A,N/A,300,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,3,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,5,N/A,N/A
N/A,4.21,N/A,300,18,33.4,104,9,N/A,285
N/A,N/A,N/A,185,N/A,N/A,N/A,N/A,N/A,N/A
N/A,3.9,N/A,235,N/A,120.5,N/A,2,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
camp,N/A,N/A,255,12,28.6,N/A,4,N/A,195
N/A,-,N/A,315,N/A,-,N/A,8,N/A,N/A
N/A,N/A,N/A,225,N/A,34,N/A,1,N/A,N/A
Coach Pierce,N/A,N/A,190,2,33,9’3,N/A,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,165,N/A,N/A,N/A,0,N/A,N/A
N/A,N/A,N/A,375,N/A,N/A,N/A,16,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.73,N/A,305,N/A,N/A,"8'5""",10,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
Coach,4,N/A,185,N/A,40,10 feet ,N/A,N/A,195
N/A,N/A,N/A,245,5,N/A,N/A,3,N/A,N/A
Coaching Staff,N/A,N/A,185,1,"22""","76""",N/A,N/A,N/A
coach,4.1,N/A,315,N/A,35,"9'8""",13,N/A,250
N/A,N/A,N/A,210,4,"29""",N/A,1,N/A,N/A
N/A,N/A,N/A,325,15,N/A,N/A,10,N/A,235
N/A,N/A,N/A,245,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,175,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,220,N/A,30,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,240,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,5,N/A,N/A
Shaker Heights High School,4.8,N/A,250,9,24,8.5,4,N/A,N/A
N/A,N/A,N/A,235,10,N/A,N/A,2,N/A,185
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,205,N/A,26,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.6,N/A,225,10,N/A,7'11,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.6,N/A,335,N/A,N/A,N/A,18,N/A,225
N/A,N/A,N/A,230,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,230,N/A,32,N/A,N/A,N/A,N/A
Track Coach,N/A,N/A,305,20,N/A,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,280,14,34,117,8,N/A,285
N/A,4.1,N/A,275,N/A,31.5,N/A,6,N/A,N/A
N/A,N/A,N/A,N/a (corona),N/A,N/A,N/A,N/a (corona),N/A,N/A
N/A,N/A,N/A,205,N/A,21,N/A,2,N/A,N/A
N/A,2.34,N/A,275,N/A,32,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,2,N/A,N/A
N/A,None,N/A,235,N/A,None,N/A,2,N/A,N/A
N/A,N/A,N/A,215,4,23,N/A,N/A,N/A,200
N/A,N/A,N/A,265,N/A,30,N/A,5,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,250
N/A,4.7,N/A,195,N/A,33,N/A,N/A,N/A,N/A
N/A,4.5,N/A,185,N/A,30.2 in,N/A,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,230,N/A,26,N/A,1,N/A,N/A
